app\api\admin\audit-logs\route.ts | guardAdminApi: ✅ | requireAdmin: ✅ | RateLimit: ✅
app\api\admin\auth\route.ts | guardAdminApi: ✅ | requireAdmin: ✅ | RateLimit: ✅
app\api\admin\banlist\route.ts | guardAdminApi: ✅ | requireAdmin: ✅ | RateLimit: ✅
app\api\admin\banlist\[id]\route.ts | guardAdminApi: ❌ | requireAdmin: ❌ | RateLimit: ❌
app\api\admin\banners\route.ts | guardAdminApi: ✅ | requireAdmin: ✅ | RateLimit: ✅
app\api\admin\banners\[id]\route.ts | guardAdminApi: ❌ | requireAdmin: ❌ | RateLimit: ❌
app\api\admin\blog\route.ts | guardAdminApi: ✅ | requireAdmin: ✅ | RateLimit: ✅
app\api\admin\blog\[id]\route.ts | guardAdminApi: ❌ | requireAdmin: ❌ | RateLimit: ❌
app\api\admin\bundles\route.ts | guardAdminApi: ✅ | requireAdmin: ✅ | RateLimit: ✅
app\api\admin\customers\route.ts | guardAdminApi: ✅ | requireAdmin: ✅ | RateLimit: ✅
app\api\admin\faqs\route.ts | guardAdminApi: ✅ | requireAdmin: ✅ | RateLimit: ✅
app\api\admin\faqs\[id]\route.ts | guardAdminApi: ❌ | requireAdmin: ❌ | RateLimit: ❌
app\api\admin\games\route.ts | guardAdminApi: ✅ | requireAdmin: ✅ | RateLimit: ✅
app\api\admin\games\reorder\route.ts | guardAdminApi: ✅ | requireAdmin: ✅ | RateLimit: ✅
app\api\admin\games\[id]\route.ts | guardAdminApi: ❌ | requireAdmin: ❌ | RateLimit: ❌
app\api\admin\maintenance\route.ts | guardAdminApi: ✅ | requireAdmin: ✅ | RateLimit: ✅
app\api\admin\orders\route.ts | guardAdminApi: ✅ | requireAdmin: ✅ | RateLimit: ✅
app\api\admin\orders\bulk\route.ts | guardAdminApi: ✅ | requireAdmin: ✅ | RateLimit: ✅
app\api\admin\orders\export\route.ts | guardAdminApi: ✅ | requireAdmin: ✅ | RateLimit: ✅
app\api\admin\orders\[orderNumber]\route.ts | guardAdminApi: ❌ | requireAdmin: ❌ | RateLimit: ❌
app\api\admin\orders\[orderNumber]\refresh\route.ts | guardAdminApi: ❌ | requireAdmin: ❌ | RateLimit: ❌
app\api\admin\products\route.ts | guardAdminApi: ✅ | requireAdmin: ✅ | RateLimit: ✅
app\api\admin\products\[id]\route.ts | guardAdminApi: ❌ | requireAdmin: ❌ | RateLimit: ❌
app\api\admin\promo-codes\route.ts | guardAdminApi: ✅ | requireAdmin: ✅ | RateLimit: ✅
app\api\admin\promo-codes\[id]\route.ts | guardAdminApi: ❌ | requireAdmin: ❌ | RateLimit: ❌
app\api\admin\referrals\payout\route.ts | guardAdminApi: ✅ | requireAdmin: ✅ | RateLimit: ✅
app\api\admin\resellers\route.ts | guardAdminApi: ✅ | requireAdmin: ✅ | RateLimit: ✅
app\api\admin\security\route.ts | guardAdminApi: ✅ | requireAdmin: ✅ | RateLimit: ✅
app\api\admin\settings\route.ts | guardAdminApi: ✅ | requireAdmin: ✅ | RateLimit: ✅
app\api\admin\stats\revenue\route.ts | guardAdminApi: ✅ | requireAdmin: ✅ | RateLimit: ✅
app\api\admin\tools\pricing\route.ts | guardAdminApi: ✅ | requireAdmin: ✅ | RateLimit: ✅
app\api\admin\upload\route.ts | guardAdminApi: ✅ | requireAdmin: ✅ | RateLimit: ✅
app\api\admin\users\route.ts | guardAdminApi: ✅ | requireAdmin: ✅ | RateLimit: ✅
app\api\admin\users\vip\route.ts | guardAdminApi: ✅ | requireAdmin: ✅ | RateLimit: ✅
