app\api\admin\audit-logs\route.ts | Auth: ❌ | RateLimit: ❌ | IPBlock: ❌
app\api\admin\auth\route.ts | Auth: ❌ | RateLimit: ❌ | IPBlock: ❌
app\api\admin\banlist\route.ts | Auth: ❌ | RateLimit: ❌ | IPBlock: ❌
app\api\admin\banlist\[id]\route.ts | Auth: ❌ | RateLimit: ❌ | IPBlock: ❌
app\api\admin\banners\route.ts | Auth: ❌ | RateLimit: ❌ | IPBlock: ❌
app\api\admin\banners\[id]\route.ts | Auth: ❌ | RateLimit: ❌ | IPBlock: ❌
app\api\admin\blog\route.ts | Auth: ❌ | RateLimit: ❌ | IPBlock: ❌
app\api\admin\blog\[id]\route.ts | Auth: ❌ | RateLimit: ❌ | IPBlock: ❌
app\api\admin\bundles\route.ts | Auth: ✅ | RateLimit: ❌ | IPBlock: ❌
app\api\admin\customers\route.ts | Auth: ❌ | RateLimit: ❌ | IPBlock: ❌
app\api\admin\faqs\route.ts | Auth: ❌ | RateLimit: ❌ | IPBlock: ❌
app\api\admin\faqs\[id]\route.ts | Auth: ❌ | RateLimit: ❌ | IPBlock: ❌
app\api\admin\games\route.ts | Auth: ❌ | RateLimit: ❌ | IPBlock: ❌
app\api\admin\games\reorder\route.ts | Auth: ❌ | RateLimit: ❌ | IPBlock: ❌
app\api\admin\games\[id]\route.ts | Auth: ❌ | RateLimit: ❌ | IPBlock: ❌
app\api\admin\maintenance\route.ts | Auth: ✅ | RateLimit: ❌ | IPBlock: ❌
app\api\admin\orders\route.ts | Auth: ✅ | RateLimit: ✅ | IPBlock: ✅
app\api\admin\orders\bulk\route.ts | Auth: ❌ | RateLimit: ❌ | IPBlock: ❌
app\api\admin\orders\export\route.ts | Auth: ❌ | RateLimit: ❌ | IPBlock: ❌
app\api\admin\orders\[orderNumber]\route.ts | Auth: ❌ | RateLimit: ❌ | IPBlock: ❌
app\api\admin\orders\[orderNumber]\refresh\route.ts | Auth: ❌ | RateLimit: ❌ | IPBlock: ❌
app\api\admin\products\route.ts | Auth: ✅ | RateLimit: ✅ | IPBlock: ✅
app\api\admin\products\[id]\route.ts | Auth: ❌ | RateLimit: ❌ | IPBlock: ❌
app\api\admin\promo-codes\route.ts | Auth: ❌ | RateLimit: ❌ | IPBlock: ❌
app\api\admin\promo-codes\[id]\route.ts | Auth: ❌ | RateLimit: ❌ | IPBlock: ❌
app\api\admin\referrals\payout\route.ts | Auth: ✅ | RateLimit: ❌ | IPBlock: ❌
app\api\admin\resellers\route.ts | Auth: ✅ | RateLimit: ❌ | IPBlock: ❌
app\api\admin\security\route.ts | Auth: ✅ | RateLimit: ❌ | IPBlock: ❌
app\api\admin\settings\route.ts | Auth: ❌ | RateLimit: ❌ | IPBlock: ❌
app\api\admin\stats\revenue\route.ts | Auth: ❌ | RateLimit: ❌ | IPBlock: ❌
app\api\admin\tools\pricing\route.ts | Auth: ❌ | RateLimit: ❌ | IPBlock: ❌
app\api\admin\upload\route.ts | Auth: ❌ | RateLimit: ❌ | IPBlock: ❌
app\api\admin\users\route.ts | Auth: ✅ | RateLimit: ❌ | IPBlock: ❌
app\api\admin\users\vip\route.ts | Auth: ✅ | RateLimit: ❌ | IPBlock: ❌
